,Formated_Date,Summary,Max Temp,Min Temp,Avg Temp,Max Apparent_Temp,Min Apparent_Temp,Avg Apparent_Temp,Max Humidity,Min Humidity,Avg Humidity,Max Wind_Speed,Min Wind_Speed,Avg Wind_Speed,Max Wind_Bearing,Min Wind_Bearing,Avg Wind_Bearing,Max Visibility,Min Visibility,Avg Visibility,Max Pressure,Min Pressure,Avg Pressure,Daily_Summary
0,2006,Partly Cloudy,34.00555555555555,-14.088888888888889,11.215364662607868,36.4,-22.09444444444444,10.158214738711328,1.0,0.26,0.7673413242009228,45.9333,0.0,10.18985173515987,359.0,0.0,189.3428082191781,16.1,0.0,9.758083184931978,1045.14,0.0,992.5435285388135,Mostly cloudy throughout the day.
1,2007,Partly Cloudy,39.90555555555555,-10.155555555555557,12.135239091831611,38.37777777777777,-12.422222222222222,11.063134830035516,1.0,0.13,0.689651826484023,63.852599999999995,0.0,10.825391883561657,359.0,0.0,194.11929223744292,16.1,0.0,10.408190525114861,1041.65,0.0,1001.6402260273995,Mostly cloudy throughout the day.
2,2008,Partly Cloudy,37.75555555555555,-11.127777777777778,12.161875758955597,36.85555555555556,-17.26111111111111,11.053184451527954,1.0,0.0,0.7012374772313374,55.931400000000004,0.0,11.303897244990887,359.0,0.0,193.8252504553734,16.1,0.0,10.267118829691057,1046.38,0.0,1007.7345036429853,Mostly cloudy throughout the day.
3,2009,Partly Cloudy,36.111111111111114,-16.666666666666668,12.2679103247083,36.92222222222222,-24.233333333333334,11.069337265347551,1.0,0.0,0.707246575342473,48.300000000000004,0.0,11.505947705479974,359.0,0.0,180.4964611872146,16.1,0.0,10.001369623288364,1042.04,0.0,1002.6087351598184,Mostly cloudy throughout the day.
4,2010,Partly Cloudy,34.92777777777778,-15.483333333333333,11.202060564662956,38.11666666666667,-21.41111111111111,10.098643366727314,1.0,0.29,0.7968579234972716,46.207,0.0,11.015627698087538,359.0,0.0,192.0675091074681,16.1,0.0,9.140809824681583,1037.85,0.0,1004.8118909380652,Mostly cloudy throughout the day.
5,2011,Partly Cloudy,37.800000000000004,-11.700000000000001,11.524453323186208,37.71666666666667,-12.761111111111111,10.584294140030432,1.0,0.2,0.7360171232876694,49.394800000000004,0.0,9.898261621004668,359.0,0.0,189.3423515981735,16.1,0.0,9.507928515982295,1041.14,0.0,1014.1840753424688,Mostly cloudy throughout the day.
6,2012,Partly Cloudy,38.861111111111114,-21.822222222222223,11.98672649767248,37.88333333333333,-27.716666666666665,10.753080727585445,1.0,0.0,0.6895002276867096,45.080000000000005,0.0,11.264545355191489,359.0,0.0,187.75569216757742,16.1,0.0,10.363108481330343,1037.1,0.0,999.3414811020068,Mostly cloudy throughout the day.
7,2013,Partly Cloudy,37.87222222222223,-8.983333333333334,11.940718543886232,39.34444444444444,-13.88888888888889,10.825320268898937,1.0,0.15,0.7542089041095876,50.135400000000004,0.0,10.969389474885887,359.0,0.0,187.86175799086757,16.1,0.0,10.892048824201325,1041.93,0.0,1004.9507636986273,Mostly cloudy throughout the day.
8,2014,Mostly Cloudy,33.91111111111112,-13.255555555555555,12.52973747985733,35.09444444444445,-19.47222222222222,11.628703386497094,1.0,0.18,0.7485782802329666,54.88490000000001,0.0,10.502472901678724,359.0,0.0,178.22621902478016,16.1,0.0,11.320805915268128,1039.13,0.0,987.3946762589944,Mostly cloudy throughout the day.
9,2015,Partly Cloudy,37.19444444444444,-13.066666666666666,12.311370497209499,37.78333333333333,-14.644444444444446,11.340910705225756,1.0,0.18,0.7323550228310512,46.609500000000004,0.0,10.735246586758011,359.0,0.0,184.09817351598173,16.1,0.0,10.912785844749148,1042.38,0.0,1005.1794006849367,Mostly cloudy throughout the day.
10,2016,Mostly Cloudy,34.8111111111111,-10.133333333333335,11.985292071442977,37.00555555555556,-17.22222222222222,10.83262876947985,1.0,0.23,0.7608743169398906,38.833200000000005,0.0,10.70344092668489,359.0,0.0,185.43806921675775,16.1,0.0,11.249667884790899,1038.01,0.0,1015.162160746817,Mostly cloudy throughout the day.
